"labcode","result","uncertainty","zscore"
"1",0.04,0.004,-3.61689102485349
"2",0.055,0.008,-3.36689102485349
"3",0.178,0.004,-1.31689102485349
"4",0.202,0.008,-0.916891024853492
"5",0.206,0.008,-0.850224358186826
"6",0.227,0.008,-0.500224358186825
"7",0.228,0.008,-0.483557691520158
"8",0.23,0.006,-0.450224358186825
"9",0.23,0.004,-0.450224358186825
"10",0.235,0.01,-0.366891024853492
"11",0.236,0.006,-0.350224358186826
"12",0.237,0.002,-0.333557691520159
"13",0.243,0.004,-0.233557691520159
"14",0.244,0.012,-0.216891024853492
"15",0.245,0.008,-0.200224358186825
"16",0.2555,0.002,-0.0252243581868252
"17",0.26,0.008,0.0497756418131749
"18",0.264,0.002,0.116442308479842
"19",0.267,0.002,0.166442308479842
"20",0.27,0.008,0.216442308479842
"21",0.273,0.012,0.266442308479842
"22",0.274,0.012,0.283108975146508
"23",0.274,0.004,0.283108975146508
"24",0.278,0.008,0.349775641813175
"25",0.2811,0.01,0.401442308479842
"26",0.287,0.008,0.499775641813174
"27",0.287,0.004,0.499775641813174
"28",0.288,0.012,0.516442308479841
"29",0.289,0.002,0.533108975146508
"30",0.295,0.012,0.633108975146508
"31",0.296,0.008,0.649775641813174
"32",0.311,0.004,0.899775641813175
"33",0.331,0.008,1.23310897514651
"34",0.4246,0.006,2.79310897514651
